pmax_lum,efficacy
0.5,33.806
0.5101938775510204,36.338
0.5203877551020408,37.4
0.5305816326530612,39.800000000000004
0.5407755102040817,41.779999999999994
0.5509693877551021,43.772
0.5611632653061225,46.17400000000001
0.5713571428571429,47.804
0.5815510204081633,49.932
0.5917448979591837,52.263999999999996
0.6019387755102041,54.480000000000004
0.6121326530612246,56.16
0.622326530612245,58.034
0.6325204081632654,60.242000000000004
0.6427142857142857,61.942
0.6529081632653061,63.68
0.6631020408163265,65.606
0.6732959183673469,67.18199999999999
0.6834897959183673,69.212
0.6936836734693878,70.982
0.7038775510204082,72.748
0.7140714285714286,73.674
0.724265306122449,75.182
0.7344591836734694,76.852
0.7446530612244898,77.154
0.7548469387755102,78.56
0.7650408163265306,79.368
0.775234693877551,80.092
0.7854285714285714,81.372
0.7956224489795918,81.66
0.8058163265306122,82.028
0.8160102040816326,82.77
0.826204081632653,83.418
0.8363979591836734,83.66
0.8465918367346938,84.472
0.8567857142857143,84.764
0.8669795918367347,85.27
0.8771734693877551,85.322
0.8873673469387755,85.818
0.8975612244897959,86.102
0.9077551020408163,86.316
0.9179489795918367,86.648
0.9281428571428572,87.144
0.9383367346938776,87.086
0.948530612244898,87.38
0.9587244897959184,87.494
0.9689183673469388,87.674
0.9791122448979592,88.21
0.9893061224489796,88.214
0.9995,88.528
