WEIGHT,CL,V2,CL/V2
0.0,0.0,0.0,
1.0,4.244,3.33,1.275
2.0,7.138,5.256,1.358
3.0,9.675,8.237,1.174
4.0,12.004,10.152,1.182
5.0,14.191,9.69,1.464
6.0,16.271,15.228,1.068
7.0,18.265,18.252,1.001
8.0,20.189,18.079,1.117
9.0,22.053,22.207,0.993
10.0,23.866,28.542,0.836
11.0,25.635,36.011,0.712
12.0,27.364,37.87,0.723
13.0,29.057,33.72,0.862
14.0,30.717,28.666,1.072
15.0,32.349,44.151,0.733
16.0,33.953,45.14,0.752
17.0,35.532,42.419,0.838
18.0,37.089,53.456,0.694
19.0,38.624,49.05,0.787
20.0,40.138,63.817,0.629
21.0,41.634,56.734,0.734
22.0,43.113,54.623,0.789
23.0,44.574,69.189,0.644
24.0,46.02,74.239,0.62
25.0,47.451,71.555,0.663
26.0,48.867,51.781,0.944
27.0,50.27,65.936,0.762
28.0,51.66,70.14,0.737
29.0,53.038,69.937,0.758
30.0,54.404,96.126,0.566
31.0,55.758,84.673,0.659
32.0,57.102,73.646,0.775
33.0,58.435,92.551,0.631
34.0,59.758,100.883,0.592
35.0,61.072,85.11,0.718
36.0,62.376,110.883,0.563
37.0,63.671,93.364,0.682
38.0,64.957,91.804,0.708
39.0,66.235,80.429,0.824
40.0,67.505,84.774,0.796
41.0,68.766,91.071,0.755
42.0,70.021,106.401,0.658
43.0,71.267,101.965,0.699
44.0,72.507,111.46,0.651
45.0,73.739,105.916,0.696
46.0,74.965,134.853,0.556
47.0,76.184,142.619,0.534
48.0,77.396,104.715,0.739
49.0,78.602,144.958,0.542
50.0,79.802,128.21,0.622
51.0,80.996,121.023,0.669
52.0,82.185,168.352,0.488
53.0,83.367,114.901,0.726
54.0,84.544,129.008,0.655
55.0,85.716,171.886,0.499
56.0,86.882,136.655,0.636
57.0,88.043,156.816,0.561
58.0,89.199,157.22,0.567
59.0,90.35,143.609,0.629
60.0,91.496,153.521,0.596
61.0,92.637,140.267,0.66
62.0,93.774,171.247,0.548
63.0,94.906,185.446,0.512
64.0,96.034,181.712,0.528
65.0,97.157,191.576,0.507
66.0,98.276,189.266,0.519
67.0,99.39,167.628,0.593
68.0,100.501,186.99,0.537
69.0,101.607,185.8,0.547
70.0,102.71,195.606,0.525
71.0,103.808,176.311,0.589
72.0,104.903,219.115,0.479
73.0,105.994,256.211,0.414
74.0,107.081,177.46,0.603
75.0,108.164,230.39,0.469
76.0,109.244,253.402,0.431
77.0,110.321,180.251,0.612
78.0,111.393,189.474,0.588
79.0,112.463,219.223,0.513
80.0,113.529,195.87,0.58
81.0,114.591,239.583,0.478
82.0,115.651,207.825,0.556
83.0,116.707,222.876,0.524
84.0,117.76,170.633,0.69
85.0,118.81,264.082,0.45
86.0,119.857,199.237,0.602
87.0,120.9,273.25,0.442
88.0,121.941,225.573,0.541
89.0,122.979,252.465,0.487
90.0,124.014,263.623,0.47
91.0,125.046,247.737,0.505
92.0,126.075,228.752,0.551
93.0,127.101,273.543,0.465
94.0,128.125,258.031,0.497
95.0,129.146,227.239,0.568
96.0,130.164,209.167,0.622
97.0,131.18,195.307,0.672
98.0,132.193,258.357,0.512
99.0,133.203,250.654,0.531
100.0,134.211,325.359,0.413
