pmax_art,efficacy
0.99997,100.0
0.9958891836734695,99.94
0.9918083673469388,99.64
0.9877275510204082,99.16
0.9836467346938775,98.24
0.979565918367347,96.44
0.9754851020408164,96.06
0.9714042857142857,95.8
0.9673234693877552,94.56
0.9632426530612245,94.34
0.9591618367346939,91.98
0.9550810204081632,92.6
0.9510002040816327,91.94
0.9469193877551021,92.0
0.9428385714285714,92.42
0.9387577551020408,92.78
0.9346769387755103,90.78
0.9305961224489796,91.2
0.926515306122449,91.12
0.9224344897959184,91.14
0.9183536734693878,91.16
0.9142728571428571,91.02
0.9101920408163265,90.42
0.906111224489796,90.08
0.9020304081632653,90.98
0.8979495918367347,90.96000000000001
0.8938687755102042,90.78
0.8897879591836735,89.74
0.8857071428571429,90.7
0.8816263265306122,90.18
0.8775455102040817,90.66
0.873464693877551,91.02
0.8693838775510204,89.8
0.8653030612244899,89.96
0.8612222448979592,90.74
0.8571414285714286,90.62
0.853060612244898,90.64
0.8489797959183674,90.32
0.8448989795918367,90.28
0.8408181632653061,90.98
0.8367373469387756,89.68
0.8326565306122449,90.78
0.8285757142857143,90.68
0.8244948979591837,89.98
0.8204140816326531,89.76
0.8163332653061225,89.56
0.8122524489795918,90.12
0.8081716326530612,90.34
0.8040908163265306,90.48
0.80001,89.98
